im_paths,gt_paths,mask_paths
data/CHASEDB/images/Image_01L.jpg,data/CHASEDB/manual/Image_01L_1stHO.png,data/CHASEDB/masks/Image_01L.png
data/CHASEDB/images/Image_01R.jpg,data/CHASEDB/manual/Image_01R_1stHO.png,data/CHASEDB/masks/Image_01R.png
data/CHASEDB/images/Image_02L.jpg,data/CHASEDB/manual/Image_02L_1stHO.png,data/CHASEDB/masks/Image_02L.png
data/CHASEDB/images/Image_02R.jpg,data/CHASEDB/manual/Image_02R_1stHO.png,data/CHASEDB/masks/Image_02R.png
data/CHASEDB/images/Image_03L.jpg,data/CHASEDB/manual/Image_03L_1stHO.png,data/CHASEDB/masks/Image_03L.png
data/CHASEDB/images/Image_03R.jpg,data/CHASEDB/manual/Image_03R_1stHO.png,data/CHASEDB/masks/Image_03R.png
data/CHASEDB/images/Image_04L.jpg,data/CHASEDB/manual/Image_04L_1stHO.png,data/CHASEDB/masks/Image_04L.png
data/CHASEDB/images/Image_04R.jpg,data/CHASEDB/manual/Image_04R_1stHO.png,data/CHASEDB/masks/Image_04R.png
data/CHASEDB/images/Image_05L.jpg,data/CHASEDB/manual/Image_05L_1stHO.png,data/CHASEDB/masks/Image_05L.png
data/CHASEDB/images/Image_05R.jpg,data/CHASEDB/manual/Image_05R_1stHO.png,data/CHASEDB/masks/Image_05R.png
data/CHASEDB/images/Image_06L.jpg,data/CHASEDB/manual/Image_06L_1stHO.png,data/CHASEDB/masks/Image_06L.png
data/CHASEDB/images/Image_06R.jpg,data/CHASEDB/manual/Image_06R_1stHO.png,data/CHASEDB/masks/Image_06R.png
data/CHASEDB/images/Image_07L.jpg,data/CHASEDB/manual/Image_07L_1stHO.png,data/CHASEDB/masks/Image_07L.png
data/CHASEDB/images/Image_07R.jpg,data/CHASEDB/manual/Image_07R_1stHO.png,data/CHASEDB/masks/Image_07R.png
data/CHASEDB/images/Image_08L.jpg,data/CHASEDB/manual/Image_08L_1stHO.png,data/CHASEDB/masks/Image_08L.png
data/CHASEDB/images/Image_08R.jpg,data/CHASEDB/manual/Image_08R_1stHO.png,data/CHASEDB/masks/Image_08R.png
data/CHASEDB/images/Image_09L.jpg,data/CHASEDB/manual/Image_09L_1stHO.png,data/CHASEDB/masks/Image_09L.png
data/CHASEDB/images/Image_09R.jpg,data/CHASEDB/manual/Image_09R_1stHO.png,data/CHASEDB/masks/Image_09R.png
data/CHASEDB/images/Image_10L.jpg,data/CHASEDB/manual/Image_10L_1stHO.png,data/CHASEDB/masks/Image_10L.png
data/CHASEDB/images/Image_10R.jpg,data/CHASEDB/manual/Image_10R_1stHO.png,data/CHASEDB/masks/Image_10R.png
data/CHASEDB/images/Image_11L.jpg,data/CHASEDB/manual/Image_11L_1stHO.png,data/CHASEDB/masks/Image_11L.png
